hotelId,aveHelpfulnessRatioUser,stdevHelpfulnessRatioUser,pcReviewsExceedMinHelpfulnessSupport,numReviewsUser,numReviewsHotel,ratingUser,numberSubRatingsUser,subRatingMeanUser,subRatingStdevUser,aveRatingUser,stdevRatingUser,aveRatingHotel,stdevRatingHotel,completeness_1,completeness_2,completeness_3,numberTermsEntry,percentageAlphaCharsEntry,fractionUpperCaseCharsEntry,fractionYouVsIEntry,numberTermsSummaryQuote,percentageAlphaCharsSummaryQuote,fractionUpperCaseCharsSummaryQuote,reviewHelpfulness
17420,1,0,0.666667,3,16,5,4,4,0,4.333333,0.57735,4.5,1.032796,2,0,1,182,0.788474,0.025703,0.5,6,0.815789,0.096774,1
1397,0.772487,0.377321,0.5,12,233,5,0,0,0,4.333333,0.887625,4.467811,1.09073,2,0,0,158,0.791888,0.012594,0.5,1,1,0.083333,1
1348,0.715473,0.300437,0.833333,12,302,4,7,3.714286,0.755929,4.166667,0.937437,4.145695,1.046414,5,0,3,59,0.799639,0.024831,0.333333,4,0.828571,0.034483,0
5940,0.52125,0.481675,0.222222,36,6,1,4,1,0,3.527778,0.9706,2.333333,1.505545,2,0,0,95,0.782212,0.029155,0.5,2,0.8,0.0625,0
38,0.603175,0.246926,1,2,271,3,0,0,0,3.5,0.707107,3.656827,1.312454,0,0,0,43,0.805128,0.028662,0,1,1,0.142857,0
105,0.571429,0,1,1,258,5,4,5,0,5,0,4.484496,0.951014,2,0,1,59,0.800774,0.036232,0,2,0.909091,0.15,0
376,0.833333,0,1,1,353,3,4,3,0.816497,3,0,3.898017,1.227443,2,0,0,46,0.752083,0.024931,0,2,0.9,0.074074,1
376,0.777778,0.31427,1,2,353,4,0,0,0,4.5,0.707107,3.898017,1.227443,0,0,0,0,0,0,0,3,0.866667,1,0
12272,0.690559,0.461413,0.294118,17,39,4,0,0,0,4.176471,0.882843,3.820513,1.430344,2,0,0,90,0.802239,0.035659,0,3,0.888889,0.041667,1
208,0.392857,0.151523,0.5,2,184,1,6,1.833333,0.408248,3,2.828427,4.434783,1.074334,5,2,3,238,0.770301,0.025626,0.6,6,0.862745,0,0
28,0.833333,0,1,1,207,1,0,0,0,1,0,2.468599,1.302622,0,0,0,0,0,0,0,2,0.928571,0,1
1821,0.933242,0.152192,0.470588,17,120,4,4,3.5,0.57735,3.705882,0.848875,4.25,0.872069,2,0,0,93,0.766892,0.030837,0.333333,2,0.857143,0.166667,1
2771,0.6375,0.483103,0.1,20,63,5,7,5,0,4.1,0.967906,4.095238,0.755929,5,2,3,132,0.785139,0.022805,0.5,2,0.9,0.111111,1
27867,0.942308,0.118754,0.769231,13,13,4,4,4.25,0.957427,3.615385,0.960769,2.615385,1.502135,2,0,1,252,0.787989,0.018926,0.75,7,0.821429,0.021739,1
2313,0.553535,0.433292,0.266667,15,7,5,4,5,0,2.666667,1.447494,3.285714,2.13809,2,0,1,48,0.797826,0.013624,0,4,0.821429,0.130435,1
10645,0.790249,0.289096,0.529412,17,125,5,4,5,0,3.764706,1.20049,4.768,0.525725,2,0,1,0,0,0,0,2,0.875,0.142857,1
11141,0.867003,0.147552,0.842424,165,15,4,7,4,1,4.29697,0.912142,3.133333,0.99043,5,2,3,186,0.791736,0.045839,0,2,0.642857,0.111111,1
3214,0.666667,0.516398,0.166667,6,1296,5,6,4.5,0.83666,3.5,1.224745,4.194444,1.157484,5,2,4,510,0.780531,0.044382,0.40625,5,0.8,0.194444,1
19399,0.776667,0.337035,0.4,10,12,3,7,3,0.57735,4,1.333333,3.5,1.314257,5,0,2,76,0.804941,0.017771,0.5,3,0.789474,0,0
11087,0.867003,0.147552,0.842424,165,66,5,7,4.857143,0.377964,4.29697,0.912142,3.272727,1.183807,5,2,3,165,0.801923,0.022382,1,2,0.882353,0,1
129,0.613889,0.432103,0.333333,6,222,4,0,0,0,4.166667,1.602082,3.234234,1.247295,0,0,0,162,0.791026,0.04376,1,3,0.90625,0.034483,1
2858,0.63981,0.384904,0.304348,46,484,4,6,4.166667,0.408248,3.521739,0.960072,4.56405,0.827847,5,2,3,96,0.763575,0.048889,0,4,0.888889,0.03125,0
14528,1,0,0.5,6,257,5,0,0,0,4.5,0.547723,4.252918,1.058006,2,0,0,321,0.784684,0.035011,0.4,2,0.857143,0.083333,1
127,0.479167,0.206239,0.5,2,259,5,0,0,0,4,1.414214,3.899614,1.153676,0,0,0,50,0.778781,0.055072,1,3,0.894737,0.176471,0
379,0.754125,0.374784,0.333333,33,1345,4,7,3.714286,1.112697,3.515152,1.202113,4.613383,0.768114,4,2,4,186,0.775872,0.070884,0.4,4,0.810811,0.033333,1
2043,0.693478,0.445367,0.26087,23,446,5,6,4.833333,0.408248,3.913043,0.900154,4.026906,1.204558,5,2,3,258,0.796273,0.035638,0.25,6,0.866667,0.153846,1
20276,0.798039,0.352379,0.264706,34,2,2,5,3.2,0.83666,3.764706,1.102582,3.5,2.12132,5,2,4,79,0.775988,0.030189,0.25,2,0.916667,0.181818,1
7280,0.691429,0.419621,0.4,5,132,5,4,4.5,0.57735,4.2,1.30384,3.310606,1.230233,2,0,1,29,0.793651,0.025,1,3,0.791667,0.052632,0
18284,0.673479,0.417617,0.423077,52,16,4,2,4.5,0.707107,3.769231,1.021636,4.1875,1.108678,2,0,1,55,0.788785,0.018957,0,3,0.888889,0.0625,1
314,0.958333,0.083333,0.5,4,234,5,6,5,0,4,2,4.273504,1.028553,5,2,4,76,0.778065,0.034826,0.666667,4,0.83871,0.153846,1
1255,0.74339,0.360796,0.465116,43,119,3,4,3.25,0.5,3.674419,0.865226,3,1.200282,2,0,1,187,0.773517,0.02866,0,7,0.82,0.02439,0
13794,0.958333,0.117851,0.5,8,132,4,0,0,0,3.75,0.886405,3.939394,1.157502,0,0,0,210,0.792677,0.027977,0.8,2,0.944444,0.117647,1
14073,0.832055,0.31872,0.296296,27,120,4,7,3.857143,0.377964,3.407407,0.693889,3.608333,1.023225,5,0,3,89,0.786571,0.042683,0.4,5,0.861111,0.032258,1
132,0.571429,0,1,1,426,1,7,1.428571,1.133893,1,0,4.600939,0.809008,5,2,3,106,0.795775,0.021492,0,7,0.833333,0.25,0
3525,0.68232,0.415599,0.324324,37,100,3,0,0,0,3.459459,0.930788,3.67,1.128644,0,0,0,71,0.759547,0.027933,0.285714,4,0.736842,0.071429,1
2963,0.969301,0.085718,0.708333,24,207,4,7,4.285714,0.48795,3.541667,0.72106,4.125604,1.011426,5,2,4,160,0.773749,0.044986,0.2,3,0.818182,0.277778,1
2630,0.661073,0.414025,0.65,20,38,4,0,0,0,3.55,1.145931,3.263158,1.200995,0,0,0,90,0.766746,0.017161,0,2,0.866667,0.230769,1
164,0.833333,0,1,1,295,5,0,0,0,5,0,3.715254,1.198186,0,0,0,67,0.77619,0.0409,0,1,0.777778,0.142857,1
19973,0.814815,0.400103,0.5,6,206,3,6,2.666667,0.516398,3.166667,1.169045,3.412621,1.241414,5,0,4,817,0.771521,0.032982,0.729167,3,0.78125,0.04,1
1023,0.85,0.33541,0.6,5,741,4,0,0,0,3.2,1.30384,3.932524,1.234978,0,0,0,104,0.782167,0.017316,0.8,4,0.833333,0.05,1
1056,0.777778,0,1,1,107,5,0,0,0,5,0,4.411215,0.823628,0,0,0,147,0.800147,0.019355,0.333333,2,0.842105,0.1875,1
19837,0.4,0.547723,0.4,5,108,3,4,2.5,0.57735,3.4,0.547723,3.601852,1.013367,2,0,1,433,0.773669,0.01912,0.125,2,0.888889,0.0625,1
6118,0.708333,0.396481,0.166667,12,356,3,4,4,0.816497,4.083333,1.240112,3.848315,1.077045,2,0,0,175,0.779078,0.031802,0.5,4,0.8,0,1
22105,0.768011,0.340636,0.5,24,92,2,4,1.5,0.57735,4.208333,0.883627,3.358696,1.236634,2,0,1,110,0.772455,0.029716,0,5,0.84,0.047619,0
17585,0.503312,0.42767,0.5,12,5,1,0,0,0,3.083333,1.083625,1.8,1.30384,0,0,0,20,0.798742,0.007874,0,3,0.857143,0.25,1
842,0.851786,0.212162,0.5,4,58,4,0,0,0,4.25,0.5,3.965517,1.008134,0,0,0,0,0,0,0,2,0.933333,0.142857,0
14626,0.392548,0.432297,0.20155,129,39,5,4,4.5,0.57735,4.178295,1.056598,2.923077,1.475852,2,0,1,9,0.75,0.035088,0,6,0.825,0.181818,0
2163,0.794587,0.377754,0.416667,12,26,5,0,0,0,4,0.953463,4.653846,0.745241,0,0,0,96,0.80072,0.031484,0,5,0.785714,0.227273,1
176,0.81746,0.168919,0.666667,3,340,3,0,0,0,3.333333,0.57735,3.958824,1.096284,0,0,0,92,0.767357,0.022222,0.285714,2,0.913043,0.047619,0
943,0.673565,0.377441,0.423077,26,648,4,0,0,0,3.807692,0.800961,4.064815,1.184181,2,0,0,231,0.79146,0.025094,0.285714,3,0.678571,0.052632,0
255,0.89133,0.190383,0.470588,68,281,3,6,4.166667,0.983192,3.573529,1.23767,3.24911,1.397143,5,2,4,51,0.774468,0.021978,0,8,0.740741,0.025,0
3276,0.4,0.52915,0.333333,3,128,2,6,2.166667,1.169045,3.666667,1.527525,4.492188,0.687299,5,2,3,78,0.796634,0.033451,0,2,0.888889,0.0625,0
489,0.721429,0.111117,1,2,331,5,6,4,0,3.5,2.12132,3.694864,1.262731,5,0,2,118,0.791627,0.026442,0,3,0.875,0.142857,0
1864,0.357143,0.338397,0.25,8,399,3,7,3.285714,0.48795,4,0.534522,4.295739,1.028614,5,2,3,163,0.780071,0.02646,0.25,6,0.788462,0.02439,0
12119,0.930612,0.094555,0.857143,7,132,5,4,4.75,0.5,4.285714,1.112697,4.090909,1.087434,2,0,1,143,0.779259,0.013308,0.666667,2,0.68,0.176471,1
4318,0.836469,0.199371,0.952381,21,99,5,4,4.75,0.5,3.190476,1.364516,3.070707,1.451618,2,0,1,112,0.774194,0.027778,0,2,0.772727,0.058824,1
7484,0.816708,0.122799,0.857143,7,8,4,4,4.25,0.957427,3.857143,0.377964,3.75,1.752549,2,0,1,90,0.808962,0.016035,1,4,0.851852,0.130435,1
5717,0.650123,0.363775,0.285714,21,30,3,0,0,0,3.666667,0.856349,3.333333,1.422318,0,0,0,45,0.799511,0.042813,0,4,0.869565,0.1,1
8906,0.559027,0.453004,0.275862,58,36,5,0,0,0,4.137931,0.867509,4.444444,1.02663,0,0,0,37,0.780423,0.050847,1,3,0.875,0.142857,1
371,0.776796,0.306077,0.363636,22,283,4,4,3.5,0.57735,3.454545,1.010765,3.632509,1.279657,2,0,1,148,0.792173,0.028961,1,1,0.875,0.285714,0
444,0.928571,0.101015,0.5,2,194,5,7,5,0,4,1.414214,4.226804,0.921872,5,2,3,19,0.770408,0.02649,0,2,0.894737,0.117647,1
14261,0.689731,0.404133,0.372881,59,62,5,4,5,0,4.152542,1.215043,4.129032,0.999736,2,0,1,0,0,0,0,2,0.758621,0.045455,1
7893,0.545397,0.473044,0.333333,15,7,3,0,0,0,3.866667,0.833809,2.571429,0.9759,2,0,0,94,0.765178,0.026946,0,5,0.789474,0.233333,1
3438,0.584556,0.357351,0.473684,19,118,5,0,0,0,3.578947,1.261207,4.347458,1.04903,0,0,0,0,0,0,0,6,0.883721,0.026316,0
13540,0.709546,0.361094,0.421053,19,5,2,7,1.857143,1.46385,3.421053,1.426565,3,1,5,2,3,487,0.780698,0.049042,0.428571,3,0.9,0.111111,1
273,0.877778,0.187577,0.857143,7,262,5,0,0,0,4.285714,1.496026,2.561069,1.470688,0,0,0,46,0.781903,0.041543,0,1,0.423077,0.090909,0
450,0.555556,0.521157,0.285714,7,103,5,7,5,0,3,1.154701,4.174757,1.1152,5,2,3,197,0.761114,0.021816,0.166667,3,0.592593,0.0625,1
340,0.698336,0.361573,0.55,20,41,4,0,0,0,4,0.725476,3.853659,1.130508,0,0,0,0,0,0,0,4,0.848485,0.035714,1
6489,0.828588,0.312393,0.641304,92,64,3,0,0,0,4.01087,1.208892,3.859375,0.989904,0,0,0,54,0.793296,0.032864,0.75,2,0.857143,0.111111,1
8755,0.568095,0.449553,0.114286,35,116,3,7,3.571429,1.397276,3.714286,1.045197,4.086207,1.161476,5,2,3,137,0.777861,0.029042,0.222222,3,0.878788,0.068966,0
15233,0.744232,0.374028,0.384615,26,166,4,7,4.285714,0.48795,4.346154,1.093336,4.222892,0.83395,5,2,4,87,0.793953,0.021157,0.333333,2,0.823529,0.142857,1
277,0.582143,0.166675,1,2,102,3,0,0,0,4,1.414214,4.196078,0.890424,0,0,0,0,0,0,0,3,0.8,0.166667,0
885,0.7,0.476095,0.5,4,111,3,4,2.75,0.5,3.75,0.5,2.972973,1.216997,2,0,1,229,0.779052,0.033291,0.6,3,0.772727,0.058824,1
17827,0.843915,0.312605,0.190476,21,29,4,4,4.5,0.57735,3.952381,1.023533,4.551724,0.783135,2,0,1,34,0.76,0.038278,0.2,2,0.8,0,1
3091,0.516667,0.474342,0.4,10,1967,4,0,0,0,3.9,0.567646,4.299949,1.084673,0,0,0,312,0.780571,0.024369,0.888889,6,0.824561,0.042553,1
25227,0.75463,0.316235,0.333333,12,26,3,4,4.25,0.5,4,1.044466,3.461538,1.33359,2,0,1,67,0.805766,0.016949,0,5,0.878049,0.027778,1
2029,0.84375,0.1875,1,4,198,5,6,5,0,5,0,4.444444,0.952925,4,1,3,93,0.783042,0.044586,0.5,2,0.941176,0.125,0
19562,0.901313,0.13138,0.714286,14,139,4,6,4.333333,0.516398,3.571429,0.937614,4.597122,0.729497,5,2,2,102,0.789416,0.011173,1,2,0.9,0.222222,1
480,0.734921,0.142566,1,3,353,1,4,1,0,2.333333,1.527525,2.441926,1.298009,2,0,0,115,0.788386,0.021223,0.222222,2,0.8,0.125,1
11344,0.883333,0.214735,0.833333,6,27,1,4,3,0,3.166667,1.722401,3.592593,1.30853,2,0,0,227,0.786008,0.028505,0.375,4,0.878788,0.068966,1
